"subject";"KatCode";"Cond";"Nr";"Item";"Semantische.Kategorie";"uebergeordnete.Kategorie";"OberkatCode";"Dateiname";"DG";"g_ng";"Session";"ordinaAll";"g_ng_count";"RT";"errorcode";"filler_used";"g_ng_count_cent";"pos_in_cat";"g_ng_count_1_5";"alt_g_ng";"alt_g_ng_cent";"DG_cent";"valid";"ItemID"
"1";"22";"JN";4;"Bonbon";"Suessigkeiten";"Lebensmittel";3;"bonbon";"2";"g1";1;102;62;879;0;"";-1;2;2;0;-2,50205026455026;-0,5;307;"2204"
"1";"22";"JN";7;"Schokolade";"Suessigkeiten";"Lebensmittel";3;"schokolade";"2";"g1";1;103;63;785;0;"";0;3;3;0;-2,50205026455026;-0,5;307;"2207"
"1";"31";"SN";5;"Stuhl";"Sitzen";"Moebel";6;"stuhl";"2";"g1";1;105;62;630;0;"";-1;5;2;3;0,497949735449736;-0,5;307;"3105"
"1";"31";"SN";4;"Bank";"Sitzen";"Moebel";6;"bank";"2";"g1";1;106;63;729;0;"";0;6;3;3;0,497949735449736;-0,5;307;"3104"
"1";"22";"JN";3;"Muffin";"Suessigkeiten";"Lebensmittel";3;"muffin";"2";"g1";1;107;64;683;0;"";1;7;4;3;0,497949735449736;-0,5;307;"2203"
"1";"31";"SN";7;"Hollywood-Schaukel";"Sitzen";"Moebel";6;"hollywood-schaukel";"2";"g1";1;107;64;917;0;"";1;7;4;3;0,497949735449736;-0,5;307;"3107"
"1";"22";"JN";6;"Zuckerwatte";"Suessigkeiten";"Lebensmittel";3;"zuckerwatte";"2";"g1";1;110;65;854;0;"";2;10;5;5;2,49794973544974;-0,5;307;"2206"
"1";"31";"SN";8;"Sitzsack";"Sitzen";"Moebel";6;"sitzsack";"2";"g1";1;110;65;852;0;"";2;10;5;5;2,49794973544974;-0,5;307;"3108"
"1";"15";"JN";1;"Turban";"Kopfbedeckung";"Kleidung";2;"turban";"2";"g1";1;101;61;715;0;"";-2;1;1;0;-2,50205026455026;-0,5;307;"1501"
"1";"15";"JN";3;"Kopftuch";"Kopfbedeckung";"Kleidung";2;"kopftuch";"2";"g1";1;103;62;1003;0;"";-1;3;2;1;-1,50205026455026;-0,5;307;"1503"
"1";"15";"JN";6;"Sombrero";"Kopfbedeckung";"Kleidung";2;"sombrero";"2";"g1";1;104;63;752;0;"";0;4;3;1;-1,50205026455026;-0,5;307;"1506"
"1";"40";"SN";10;"Orchidee";"Blumen";"MiscII";8;"orchidee";"2";"g1";1;101;61;947;0;"";-2;1;1;0;-2,50205026455026;-0,5;307;"4010"
"1";"15";"JN";4;"Cappy";"Kopfbedeckung";"Kleidung";2;"cappy";"2";"g1";1;107;64;664;0;"";1;7;4;3;0,497949735449736;-0,5;307;"1504"
"1";"40";"SN";8;"Loewenzahn";"Blumen";"MiscII";8;"loewenzahn";"2";"g1";1;104;62;809;0;"";-1;4;2;2;-0,502050264550264;-0,5;307;"4008"
"1";"40";"SN";1;"Sonnenblume";"Blumen";"MiscII";8;"sonnenblume";"2";"g1";1;105;63;838;0;"";0;5;3;2;-0,502050264550264;-0,5;307;"4001"
"1";"40";"SN";9;"Gaensebluemchen";"Blumen";"MiscII";8;"gaensebluemchen";"2";"g1";1;106;64;1247;0;"";1;6;4;2;-0,502050264550264;-0,5;307;"4009"
"1";"15";"JN";5;"Zylinder";"Kopfbedeckung";"Kleidung";2;"zylinder";"2";"g1";1;110;65;945;0;"";2;10;5;5;2,49794973544974;-0,5;307;"1505"
"1";"20";"JN";10;"HeisseSchokolade";"Getraenke";"Lebensmittel";3;"heisseschokolade";"2";"g1";1;101;61;891;0;"";-2;1;1;0;-2,50205026455026;-0,5;307;"2010"
"1";"35";"SN";9;"Trommel";"Instrumente";"MiscI";7;"trommel";"2";"g1";1;101;61;708;0;"";-2;1;1;0;-2,50205026455026;-0,5;307;"3509"
"1";"35";"SN";4;"Blockfloete";"Instrumente";"MiscI";7;"blockfloete";"2";"g1";1;105;62;699;0;"";-1;5;2;3;0,497949735449736;-0,5;307;"3504"
"1";"35";"SN";8;"Trompete";"Instrumente";"MiscI";7;"trompete";"2";"g1";1;106;63;778;0;"";0;6;3;3;0,497949735449736;-0,5;307;"3508"
"1";"20";"JN";4;"Wein";"Getraenke";"Lebensmittel";3;"wein";"2";"g1";1;105;62;714;0;"";-1;5;2;3;0,497949735449736;-0,5;307;"2004"
"1";"35";"SN";10;"Harfe";"Instrumente";"MiscI";7;"harfe";"2";"g1";1;107;64;779;0;"";1;7;4;3;0,497949735449736;-0,5;307;"3510"
"1";"20";"JN";1;"Tee";"Getraenke";"Lebensmittel";3;"tee";"2";"g1";1;106;63;841;0;"";0;6;3;3;0,497949735449736;-0,5;307;"2001"
"1";"35";"SN";2;"Gitarre";"Instrumente";"MiscI";7;"gitarre";"2";"g1";1;110;65;786;0;"";2;10;5;5;2,49794973544974;-0,5;307;"3502"
"1";"20";"JN";3;"Bier";"Getraenke";"Lebensmittel";3;"bier";"2";"g1";1;108;64;785;0;"";1;8;4;4;1,49794973544974;-0,5;307;"2003"
"1";"20";"JN";7;"Kaffee";"Getraenke";"Lebensmittel";3;"kaffee";"2";"g1";1;110;65;688;0;"";2;10;5;5;2,49794973544974;-0,5;307;"2007"
"1";"39";"SN";6;"Burg";"Gebaeude";"MiscII";8;"burg";"2";"g1";1;101;61;749;0;"";-2;1;1;0;-2,50205026455026;-0,5;307;"3906"
"1";"25";"JN";1;"Edding";"Buero";"Werkzeug";4;"edding";"2";"g1";1;101;61;823;0;"";-2;1;1;0;-2,50205026455026;-0,5;307;"2501"
"1";"39";"SN";10;"Tempel";"Gebaeude";"MiscII";8;"tempel";"2";"g1";1;104;62;808;0;"";-1;4;2;2;-0,502050264550264;-0,5;307;"3910"
"1";"25";"JN";9;"Schere";"Buero";"Werkzeug";4;"schere";"2";"g1";1;104;62;893;0;"";-1;4;2;2;-0,502050264550264;-0,5;307;"2509"
"1";"39";"SN";9;"Stadion";"Gebaeude";"MiscII";8;"stadion";"2";"g1";1;107;63;812;0;"";0;7;3;4;1,49794973544974;-0,5;307;"3909"
"1";"25";"JN";2;"Tacker";"Buero";"Werkzeug";4;"tacker";"2";"g1";1;106;63;657;0;"";0;6;3;3;0,497949735449736;-0,5;307;"2502"
"1";"39";"SN";3;"Fachwerkhaus";"Gebaeude";"MiscII";8;"fachwerkhaus";"2";"g1";1;108;64;740;0;"";1;8;4;4;1,49794973544974;-0,5;307;"3903"
"1";"25";"JN";6;"Anspitzer";"Buero";"Werkzeug";4;"anspitzer";"2";"g1";1;107;64;889;0;"";1;7;4;3;0,497949735449736;-0,5;307;"2506"
"1";"39";"SN";4;"Leuchtturm";"Gebaeude";"MiscII";8;"leuchtturm";"2";"g1";1;110;65;890;0;"";2;10;5;5;2,49794973544974;-0,5;307;"3904"
"1";"25";"JN";4;"Lineal";"Buero";"Werkzeug";4;"lineal";"2";"g1";1;110;65;680;0;"";2;10;5;5;2,49794973544974;-0,5;307;"2504"
"1";"28";"JN";1;"Auto";"Strasse";"Fortbewegungsmittel";5;"auto";"2";"g1";1;101;61;361;0;"";-2;1;1;0;-2,50205026455026;-0,5;307;"2801"
"1";"36";"SN";6;"Mund";"Koerperteile";"MiscI";7;"mund";"2";"g1";1;101;61;566;0;"";-2;1;1;0;-2,50205026455026;-0,5;307;"3606"
"1";"28";"JN";2;"LKW";"Strasse";"Fortbewegungsmittel";5;"lkw";"2";"g1";1;102;62;689;0;"";-1;2;2;0;-2,50205026455026;-0,5;307;"2802"
"1";"36";"SN";10;"Bein";"Koerperteile";"MiscI";7;"bein";"2";"g1";1;102;62;540;0;"";-1;2;2;0;-2,50205026455026;-0,5;307;"3610"
"1";"36";"SN";4;"Ohr";"Koerperteile";"MiscI";7;"ohr";"2";"g1";1;103;63;556;0;"";0;3;3;0;-2,50205026455026;-0,5;307;"3604"
"1";"28";"JN";5;"Taxi";"Strasse";"Fortbewegungsmittel";5;"taxi";"2";"g1";1;106;63;755;0;"";0;6;3;3;0,497949735449736;-0,5;307;"2805"
"1";"36";"SN";9;"Bauch";"Koerperteile";"MiscI";7;"bauch";"2";"g1";1;106;64;733;0;"";1;6;4;2;-0,502050264550264;-0,5;307;"3609"
"1";"28";"JN";9;"Motorrad";"Strasse";"Fortbewegungsmittel";5;"motorrad";"2";"g1";1;108;64;831;0;"";1;8;4;4;1,49794973544974;-0,5;307;"2809"
"1";"28";"JN";4;"Jeep";"Strasse";"Fortbewegungsmittel";5;"jeep";"2";"g1";1;110;65;993;0;"";2;10;5;5;2,49794973544974;-0,5;307;"2804"
"1";"36";"SN";5;"Nase";"Koerperteile";"MiscI";7;"nase";"2";"g1";1;110;65;754;0;"";2;10;5;5;2,49794973544974;-0,5;307;"3605"
"1";"44";"JN";6;"Meterstab";"Heimwerker";"Werkzeug";4;"meterstab";"2";"g1";1;101;61;1007;0;"";-2;1;1;0;-2,50205026455026;-0,5;307;"4406"
"1";"43";"SN";7;"Kanne";"Trinkgefaesse";"MiscII";8;"kanne";"2";"g1";1;101;61;873;0;"";-2;1;1;0;-2,50205026455026;-0,5;307;"4307"
"1";"43";"SN";8;"Bierkrug";"Trinkgefaesse";"MiscII";8;"bierkrug";"2";"g1";1;102;62;963;0;"";-1;2;2;0;-2,50205026455026;-0,5;307;"4308"
"1";"43";"SN";4;"Karaffe";"Trinkgefaesse";"MiscII";8;"karaffe";"2";"g1";1;103;63;1022;0;"";0;3;3;0;-2,50205026455026;-0,5;307;"4304"
"1";"44";"JN";4;"schraubenschluessel";"Heimwerker";"Werkzeug";4;"schraubenschluessel";"2";"g1";1;103;62;1173;0;"";-1;3;2;1;-1,50205026455026;-0,5;307;"4404"
"1";"44";"JN";5;"Bohrmaschine";"Heimwerker";"Werkzeug";4;"bohrmaschine";"2";"g1";1;107;63;1012;0;"";0;7;3;4;1,49794973544974;-0,5;307;"4405"
"1";"43";"SN";3;"Glas";"Trinkgefaesse";"MiscII";8;"glas";"2";"g1";1;106;64;1635;0;"";1;6;4;2;-0,502050264550264;-0,5;307;"4303"
"1";"44";"JN";3;"inbusschluessel";"Heimwerker";"Werkzeug";4;"inbusschluessel";"2";"g1";1;109;64;1142;0;"";1;9;4;5;2,49794973544974;-0,5;307;"4403"
"1";"44";"JN";8;"Hammer";"Heimwerker";"Werkzeug";4;"hammer";"2";"g1";1;110;65;594;0;"";2;10;5;5;2,49794973544974;-0,5;307;"4408"
"1";"43";"SN";6;"Weinglas";"Trinkgefaesse";"MiscII";8;"weinglas";"2";"g1";1;110;65;662;0;"";2;10;5;5;2,49794973544974;-0,5;307;"4306"
"1";"21";"SN";5;"Radieschen";"Gemuese";"Lebensmittel";3;"radieschen";"2";"g1";1;101;61;988;0;"";-2;1;1;0;-2,50205026455026;-0,5;307;"2105"
"1";"21";"SN";6;"Tomate";"Gemuese";"Lebensmittel";3;"tomate";"2";"g1";1;102;62;743;0;"";-1;2;2;0;-2,50205026455026;-0,5;307;"2106"
"1";"21";"SN";2;"Kartoffel";"Gemuese";"Lebensmittel";3;"kartoffel";"2";"g1";1;103;63;926;0;"";0;3;3;0;-2,50205026455026;-0,5;307;"2102"
"1";"38";"JN";6;"Windhose";"Himmelsereignisse";"MiscI";7;"windhose";"2";"g1";1;101;61;1027;0;"";-2;1;1;0;-2,50205026455026;-0,5;307;"3806"
"1";"38";"JN";5;"Komet";"Himmelsereignisse";"MiscI";7;"komet";"2";"g1";1;103;62;685;0;"";-1;3;2;1;-1,50205026455026;-0,5;307;"3805"
"1";"21";"SN";8;"Erbse";"Gemuese";"Lebensmittel";3;"erbse";"2";"g1";1;107;64;814;0;"";1;7;4;3;0,497949735449736;-0,5;307;"2108"
"1";"38";"JN";3;"Wolken";"Himmelsereignisse";"MiscI";7;"wolken";"2";"g1";1;107;63;869;0;"";0;7;3;4;1,49794973544974;-0,5;307;"3803"
"1";"21";"SN";7;"Karotte";"Gemuese";"Lebensmittel";3;"karotte";"2";"g1";1;110;65;774;0;"";2;10;5;5;2,49794973544974;-0,5;307;"2107"
"1";"38";"JN";10;"Sichelmond";"Himmelsereignisse";"MiscI";7;"sichelmond";"2";"g1";1;109;64;1538;0;"";1;9;4;5;2,49794973544974;-0,5;307;"3810"
"1";"38";"JN";2;"Regenbogen";"Himmelsereignisse";"MiscI";7;"regenbogen";"2";"g1";1;110;65;912;0;"";2;10;5;5;2,49794973544974;-0,5;307;"3802"
"1";"41";"SN";6;"Hanf";"Pflanzen";"MiscII";8;"hanf";"2";"g1";1;101;61;753;0;"";-2;1;1;0;-2,50205026455026;-0,5;307;"4106"
"1";"11";"JN";8;"Ente";"Voegel";"Tiere";1;"ente";"2";"g1";1;101;61;692;0;"";-2;1;1;0;-2,50205026455026;-0,5;307;"1108"
"1";"41";"SN";2;"Gras";"Pflanzen";"MiscII";8;"gras";"2";"g1";1;104;62;800;0;"";-1;4;2;2;-0,502050264550264;-0,5;307;"4102"
"1";"41";"SN";3;"Farn";"Pflanzen";"MiscII";8;"farn";"2";"g1";1;105;63;1096;0;"";0;5;3;2;-0,502050264550264;-0,5;307;"4103"
"1";"11";"JN";9;"Taube";"Voegel";"Tiere";1;"taube";"2";"g1";1;105;62;743;0;"";-1;5;2;3;0,497949735449736;-0,5;307;"1109"
"1";"11";"JN";7;"Rabe";"Voegel";"Tiere";1;"rabe";"2";"g1";1;106;63;1048;0;"";0;6;3;3;0,497949735449736;-0,5;307;"1107"
"1";"41";"SN";4;"Schilf";"Pflanzen";"MiscII";8;"schilf";"2";"g1";1;108;64;985;0;"";1;8;4;4;1,49794973544974;-0,5;307;"4104"
"1";"41";"SN";9;"AloeVera";"Pflanzen";"MiscII";8;"aloevera";"2";"g1";1;110;65;836;0;"";2;10;5;5;2,49794973544974;-0,5;307;"4109"
"1";"11";"JN";1;"Adler";"Voegel";"Tiere";1;"adler";"2";"g1";1;109;64;984;0;"";1;9;4;5;2,49794973544974;-0,5;307;"1101"
"1";"11";"JN";3;"Papagei";"Voegel";"Tiere";1;"papagei";"2";"g1";1;110;65;711;0;"";2;10;5;5;2,49794973544974;-0,5;307;"1103"
"1";"13";"SN";6;"Skorpion";"Insekten";"Tiere";1;"skorpion";"3";"g1";1;101;61;524;0;"";-2;1;1;0;-2,50205026455026;0,5;307;"1306"
"1";"23";"JN";6;"Gabel";"Werkzeug_Kueche";"Werkzeug";4;"gabel";"3";"g1";1;101;61;544;0;"";-2;1;1;0;-2,50205026455026;0,5;307;"2306"
"1";"13";"SN";4;"Ameise";"Insekten";"Tiere";1;"ameise";"3";"g1";1;103;62;724;0;"";-1;3;2;1;-1,50205026455026;0,5;307;"1304"
"1";"23";"JN";4;"Messer";"Werkzeug_Kueche";"Werkzeug";4;"messer";"3";"g1";1;105;62;708;0;"";-1;5;2;3;0,497949735449736;0,5;307;"2304"
"1";"23";"JN";3;"Nudelholz";"Werkzeug_Kueche";"Werkzeug";4;"nudelholz";"3";"g1";1;106;63;694;0;"";0;6;3;3;0,497949735449736;0,5;307;"2303"
"1";"13";"SN";2;"Biene";"Insekten";"Tiere";1;"biene";"3";"g1";1;106;63;622;0;"";0;6;3;3;0,497949735449736;0,5;307;"1302"
"1";"23";"JN";1;"Schneebesen";"Werkzeug_Kueche";"Werkzeug";4;"schneebesen";"3";"g1";1;109;64;843;0;"";1;9;4;5;2,49794973544974;0,5;307;"2301"
"1";"23";"JN";5;"Dosenoeffner";"Werkzeug_Kueche";"Werkzeug";4;"dosenoeffner";"3";"g1";1;110;65;1897;0;"";2;10;5;5;2,49794973544974;0,5;307;"2305"
"1";"13";"SN";10;"Muecke";"Insekten";"Tiere";1;"muecke";"3";"g1";1;109;64;626;0;"";1;9;4;5;2,49794973544974;0,5;307;"1310"
"1";"13";"SN";3;"Schmetterling";"Insekten";"Tiere";1;"schmetterling";"3";"g1";1;110;65;706;0;"";2;10;5;5;2,49794973544974;0,5;307;"1303"
"1";"22";"JN";6;"Zuckerwatte";"Suessigkeiten";"Lebensmittel";3;"zuckerwatte";"3";"g1";1;101;61;842;0;"";-2;1;1;0;-2,50205026455026;0,5;307;"2206"
"1";"31";"SN";7;"Hollywood-Schaukel";"Sitzen";"Moebel";6;"hollywood-schaukel";"3";"g1";1;101;61;730;0;"";-2;1;1;0;-2,50205026455026;0,5;307;"3107"
"1";"22";"JN";4;"Bonbon";"Suessigkeiten";"Lebensmittel";3;"bonbon";"3";"g1";1;103;62;684;0;"";-1;3;2;1;-1,50205026455026;0,5;307;"2204"
"1";"31";"SN";4;"Bank";"Sitzen";"Moebel";6;"bank";"3";"g1";1;103;62;721;0;"";-1;3;2;1;-1,50205026455026;0,5;307;"3104"
"1";"22";"JN";9;"Lollipop";"Suessigkeiten";"Lebensmittel";3;"lollipop";"3";"g1";1;106;63;342;0;"";0;6;3;3;0,497949735449736;0,5;307;"2209"
"1";"31";"SN";1;"Couch";"Sitzen";"Moebel";6;"couch";"3";"g1";1;107;63;796;0;"";0;7;3;4;1,49794973544974;0,5;307;"3101"
"1";"22";"JN";3;"Muffin";"Suessigkeiten";"Lebensmittel";3;"muffin";"3";"g1";1;107;64;780;0;"";1;7;4;3;0,497949735449736;0,5;307;"2203"
"1";"31";"SN";8;"Sitzsack";"Sitzen";"Moebel";6;"sitzsack";"3";"g1";1;109;64;799;0;"";1;9;4;5;2,49794973544974;0,5;307;"3108"
"1";"31";"SN";5;"Stuhl";"Sitzen";"Moebel";6;"stuhl";"3";"g1";1;110;65;768;0;"";2;10;5;5;2,49794973544974;0,5;307;"3105"
"1";"22";"JN";7;"Schokolade";"Suessigkeiten";"Lebensmittel";3;"schokolade";"3";"g1";1;110;65;986;0;"";2;10;5;5;2,49794973544974;0,5;307;"2207"
"1";"15";"JN";6;"Sombrero";"Kopfbedeckung";"Kleidung";2;"sombrero";"3";"g1";1;101;61;716;0;"";-2;1;1;0;-2,50205026455026;0,5;307;"1506"
"1";"40";"SN";3;"schneegloeckchen";"Blumen";"MiscII";8;"schneegloeckchen";"3";"g1";1;101;61;1185;0;"";-2;1;1;0;-2,50205026455026;0,5;307;"4003"
"1";"15";"JN";1;"Turban";"Kopfbedeckung";"Kleidung";2;"turban";"3";"g1";1;102;62;701;0;"";-1;2;2;0;-2,50205026455026;0,5;307;"1501"
"1";"40";"SN";9;"Gaensebluemchen";"Blumen";"MiscII";8;"gaensebluemchen";"3";"g1";1;102;62;899;0;"";-1;2;2;0;-2,50205026455026;0,5;307;"4009"
